lhs,relationship,rhs
2d,is-a,field
2d,is-used-in-field,graphics
3d,is-a,field
3d,is-used-in-field,graphics
3d,provides-functionality,3d-printing
3d,provides-functionality,game
3d,provides-functionality,virtual-reality
actions,is-a,tool
actions,is-used-in-field,software-development-process
actions,provides-functionality,automation
actions,provides-functionality,cicd
activitypub,is-a,protocol
activitypub,is-focused-on,decentralization
activitypub,is-used-in-field,social-network
activitypub,provides-functionality,client-server-api
activitypub,provides-functionality,communication
ada,is-a,programming-language
advent-of-code,is-a,event
agile,is-focused-on,flexibility
agile,is-focused-on,speed
agile,is-used-in-field,software-development-process
agile,provides-functionality,project-management
ai,is-a,field
ai,is-used-in-field,scientific
ajax,is-a,standard
ajax,is-a,tool
ajax,is-used-in-field,mobile
ajax,is-used-in-field,web-development
ajax,provides-functionality,dynamic
ajax,provides-functionality,web-page
ajax,works-with,html
ajax,works-with,javascript
ajax,works-with,json
ajax,works-with,xml
algolia,is-a,api
algolia,is-a,saas
algolia,is-a,search-engine
algolia,is-used-in-field,mobile
algolia,is-used-in-field,web-development
algolia,provides-functionality,information-retrieval
algolia,provides-functionality,search
algolia,works-with,cpp
algorithm,is-a,cs-basics
algorithm,is-used-in-field,education
algorithm,is-used-in-field,mathematics
algorithm,works-with,data-structures
algorithm,works-with,flowchart
algorithm,works-with,python
altium-designer,is-a,software
altium-designer,is-used-in-field,electronics
altium-designer,provides-functionality,design
amazon,is-a,company
amazon,is-focused-on,cloud-computing
amazon,is-focused-on,ecommerce
amazon,provides-product,aws
amphp,is-a,framework
amphp,is-used-in-field,web-development
amphp,provides-functionality,concurrency
amphp,provides-functionality,event-driven
amphp,works-with,php
android,is-a,operating-system
android,is-a,platform
android,is-used-in-field,mobile
android,works-with,c
android,works-with,cpp
android,works-with,java
angular,is-a,framework
angular,is-used-in-field,desktop
angular,is-used-in-field,mobile
angular,is-used-in-field,web-development
angular,provides-functionality,frontend
angular,works-with,javascript
anidb,has-property,non-profit
anidb,is-a,catalogue
anidb,is-a,database
anidb,is-a,forum
anidb,is-a,tracker
anidb,is-used-in-field,entertainment
animal-crossing,is-a,game
animal-crossing,is-used-in-field,entertainment
animal-crossing,provides-functionality,entertainment
animation,is-used-in-field,frontend
animation,is-used-in-field,graphics
anki,has-license,gnu-agpl-license
anki,has-license,gnu-gpl-license
anki,has-property,cross-platform
anki,has-property,foss
anki,has-property,open-source
anki,is-a,application
anki,is-used-in-field,education
anki,provides-functionality,education
ansible,has-license,gnu-gpl-license
ansible,has-property,open-source
ansible,is-a,tool
ansible,is-used-in-field,devops
ansible,is-used-in-field,software-development-process
ansible,provided-by,red-hat-software
ansible,provides-functionality,automation
ansible,provides-functionality,cicd
ansible,provides-functionality,configuration
ansible,provides-functionality,management
ansible,provides-functionality,monitoring
ansible,works-with,linux
ansible,works-with,python
ansible,works-with,unix
ansible,works-with,windows
antlr,is-a,tool
antlr,is-used-in-field,software-development
antlr,provides-functionality,parsing
antlr,works-with,java
apache-license,is-a,license
api,is-a,interface
api,provides-functionality,communication
apm,is-a,process
apm,is-used-in-field,software-development-process
apm,provides-functionality,management
apm,provides-functionality,monitoring
apple,is-a,company
archlinux,is-a,operating-system
archlinux,is-based-on,linux
arduino,is-a,company
arduino,is-a,organization
arduino,is-used-in-field,hardware
arduino,provides-product,hardware
arduino,works-with,cpp
asgi,is-based-on,wsgi
asgi,provides-functionality,asynchronous
asgi,works-with,python
aspnet,is-a,framework
aspnet,is-used-in-field,web-development
aspnet,provides-functionality,backend
aspnet,provides-functionality,frontend
aspnet,provides-functionality,website
aspnet,works-with,css
aspnet,works-with,html
aspnet,works-with,javascript
assemblyscript,is-a,compiler
assemblyscript,is-used-in-field,software-development
assemblyscript,works-with,typescript
atom,is-a,text-editor
atom,is-used-in-field,software-development
atom,provided-by,github
atom,works-with,coffeescript
atom,works-with,css
atom,works-with,html
atom,works-with,javascript
aurelia,is-a,framework
aurelia,is-used-in-field,desktop
aurelia,is-used-in-field,mobile
aurelia,is-used-in-field,web-development
aurelia,provides-functionality,component-based
aurelia,provides-functionality,frontend
aurelia,works-with,javascript
aurelia,works-with,typescript
auth0,is-a,service
auth0,is-used-in-field,mobile
auth0,is-used-in-field,web-development
auth0,provides-functionality,authentication
auth0,provides-functionality,security
avalonia,is-a,framework
avalonia,is-used-in-field,desktop
avalonia,is-used-in-field,mobile
avalonia,provides-functionality,frontend
avalonia,provides-functionality,user-experience
avalonia,provides-functionality,user-interface
avalonia,works-with,dotnet
awesome,is-a,artifact
awesomewm,is-a,tool
awesomewm,is-used-in-field,visualization
awesomewm,provides-functionality,management
awesomewm,works-with,c
awesomewm,works-with,x-window
aws,is-a,service
aws,is-used-in-field,cloud-computing
aws,provided-by,amazon
aws,provides-functionality,as-a-service
aws,provides-functionality,distribution
aws,provides-functionality,hosting
azure,is-a,service
azure,is-used-in-field,cloud-computing
azure,provided-by,microsoft
azure,provides-functionality,as-a-service
azure,provides-functionality,management
babel,is-a,compiler
babel,is-used-in-field,software-development
babel,works-with,javascript
babel,works-with,react
backbonejs,has-license,mit-license
backbonejs,has-property,lightweight
backbonejs,has-property,synchronized
backbonejs,is-a,library
backbonejs,is-based-on,mvc
backbonejs,is-used-in-field,mobile
backbonejs,is-used-in-field,web-development
backbonejs,provides-functionality,frontend
backbonejs,provides-functionality,single-page-webapp
backbonejs,works-with,javascript
backbonejs,works-with,react
backbonejs,works-with,rest
backend,is-used-in-field,web-development
backend,works-with,php
backend,works-with,python
backend,works-with,ruby
bash,is-a,cli
bash,works-with,linux
basic8,is-a,fantasy-console
basic8,is-used-in-field,game-development
bioinformatics,is-a,field
bioinformatics,is-used-in-field,ai
bioinformatics,is-used-in-field,scientific
bioinformatics,works-with,biology
bioinformatics,works-with,deep-learning
bioinformatics,works-with,machine-learning
bioinformatics,works-with,pattern-recognition
biological-expression-language,is-a,representation-language
biological-expression-language,is-used-in-field,bioinformatics
biological-expression-language,is-used-in-field,scientific
bitcoin,is-a,cryptocurrency
bitcoin,is-used-in-field,blockchain
bitcoin-cash,is-a,cryptocurrency
bitcoin-cash,is-a,digital-currency
bitcoin-cash,is-used-in-field,blockchain
blockchain,is-a,ledger
blockchain,is-used-in-field,smart-contract
blockchain,provides-functionality,decentralization
blockchain,works-with,cryptography
blocker,provides-functionality,blocking
boilerplate,is-a,template
boilerplate,provides-functionality,reuse
bootstrap,is-a,framework
bootstrap,is-used-in-field,mobile
bootstrap,is-used-in-field,web-development
bootstrap,provides-functionality,frontend
bootstrap,works-with,css
bootstrap,works-with,html
bootstrap,works-with,javascript
bosque,is-a,programming-language
bot,is-a,application
bot,is-used-in-field,mobile
bot,is-used-in-field,web
bot,provides-functionality,automation
bridgetown,is-a,framework
bridgetown,is-based-on,jekyll
bridgetown,provides-functionality,site-generation
bridgetown,provides-product,static-website
bridgetown,works-with,ruby
bsd-license,is-a,license
bugbounty,is-a,deal
bugbounty,is-focused-on,debugging
bulma,is-a,framework
bulma,is-based-on,css
bulma,provides-functionality,frontend
bulma,provides-functionality,responsive
c,is-a,programming-language
cassandra,has-property,distribution
cassandra,is-a,dbms
cassandra,is-used-in-field,database
cassandra,provided-by,apache
cassandra,provides-functionality,nosql
cassandra,works-with,cql
cassandra,works-with,java
cdn,is-focused-on,availability
cdn,is-focused-on,performance
cdn,works-with,cms
cdnjs,has-property,foss
cdnjs,is-a,cdn
cdnjs,is-a,open-source
cdnjs,works-with,http
cdnjs,works-with,https
cdnjs,works-with,spdy
cdnjs,works-with,sri
chatbot,has-property,real-time
chatbot,is-a,application
chatbot,provides-functionality,messaging
chrome,is-a,application
chrome,is-a,browser
chrome,is-used-in-field,web
chrome-extension,is-a,webextension
chrome-extension,is-used-in-field,chrome
chrome-extension,works-with,browser
clash,is-a,proxy
clash,is-a,tunnel
clash,is-used-in-field,network
clash,provides-functionality,networking
clash,works-with,go
cli,is-a,tool
cli,provides-functionality,administration
clojure,is-a,programming-language
clojurescript,is-a,compiler
clojurescript,is-based-on,clojure
clojurescript,is-based-on,javascript
clojurescript,is-focused-on,optimization
clojurescript,is-used-in-field,software-development
clojurescript,provides-functionality,frontend
clojurescript,works-with,clojure
clojurescript,works-with,javascript
cloud-run,is-a,platform
cloud-run,is-a,tool
cloud-run,is-used-in-field,cloud-computing
cloud-run,provides-functionality,container
cloud-run,provides-functionality,deployment
cloud-run,works-with,container
cloud-run,works-with,https
cloud-run,works-with,orchestration
cms,is-a,tool
cms,provides-functionality,content-management
cms,provides-functionality,management
cms,provides-functionality,website-management
coap,has-property,ietf-standard
coap,is-a,protocol
coap,is-a,service-layer-protocol
coap,is-based-on,udp
coap,is-used-in-field,iot
coap,is-used-in-field,mobile
coap,works-with,http
coap,works-with,java
coap,works-with,m2m-app
code-quality,is-a,metric
code-quality,is-used-in-field,software-development-process
code-review,is-a,process
code-review,is-used-in-field,software-development-process
code-review,provides-functionality,code-quality
code-review,provides-functionality,software-quality
codeception,is-a,framework
codeception,is-used-in-field,software-development-process
codeception,provides-functionality,testing
codeception,works-with,php
common-lisp,is-a,programming-language
compiler,is-a,tool
compiler,is-used-in-field,software-development
compiler,provides-functionality,machine-code
compiler,works-with,parse-tree
compiler,works-with,semantic-tree
composer,is-a,package-manager
composer,is-a,tool
composer,is-used-in-field,software-development
composer,works-with,php
computer-vision,is-a,field
computer-vision,is-used-in-field,ai
computer-vision,is-used-in-field,scientific
conan,is-a,package-manager
conan,is-used-in-field,software-development
conan,works-with,c
conan,works-with,cpp
concourse-ci,has-property,open-source
concourse-ci,is-a,platform
concourse-ci,provides-functionality,automation
concourse-ci,provides-functionality,cicd
concourse-ci,works-with,docker
concourse-ci,works-with,postgresql
contentful,is-a,cms
contentful,is-used-in-field,mobile
contentful,is-used-in-field,web-development
continuous-deployment,is-subset-of,cicd
continuous-integration,is-a,practice
continuous-integration,is-subset-of,cicd
continuous-integration,is-used-in-field,software-development-process
continuous-integration,provides-functionality,automation
continuous-integration,works-with,continuous-deployment
coq,is-a,programming-language
coq,is-a,tool
coq,is-based-on,ocaml
coq,is-used-in-field,scientific
coq,provides-functionality,proof
coq,works-with,mathematics
cordova,is-a,framework
cordova,is-used-in-field,mobile
cordova,provides-functionality,native
cordova,works-with,css
cordova,works-with,html
cordova,works-with,javascript
coursera,is-a,organization
coursera,is-used-in-field,education
coursera,provides-functionality,education
covid-19,is-a,disease
covid-19,is-used-in-field,bioinformatics
covid-19,is-used-in-field,scientific
cpp,is-a,programming-language
creative-commons,is-a,license
credo,is-a,tool
credo,is-used-in-field,software-development-process
credo,provides-functionality,code-review
credo,provides-functionality,code-style
credo,provides-functionality,refactoring
credo,provides-functionality,static-code-analysis
credo,works-with,elixir
cryptocurrency,is-a,currency
cryptocurrency,is-a,digital-currency
cryptocurrency,is-used-in-field,blockchain
cryptocurrency,provides-functionality,trading
crystal,is-a,programming-language
csg,is-a,technique
csg,is-used-in-field,graphics
csg,provides-functionality,3d
csharp,is-a,programming-language
css,is-a,style-sheet-language
css,is-used-in-field,web-development
css,provides-functionality,frontend
css,works-with,html
css-modules,is-based-on,css
css-modules,is-focused-on,modularity
css-reset,is-based-on,css
csv,is-a,file-format
csv,provides-functionality,tabular-data
cuda,is-a,platform
cuda,is-based-on,gpu
cuda,provides-functionality,parallel-computing
cwl,is-a,file-format
cwl,is-a,standard
cwl,provides-functionality,analytics
cwl,provides-functionality,workflow
cwl,works-with,cli
cwl,works-with,data-science
cwl,works-with,json
cwl,works-with,yaml
d,is-a,programming-language
dart,is-a,programming-language
data-science,is-a,field
data-science,overlaps-with,ai
data-structures,is-a,cs-basics
data-structures,is-used-in-field,education
data-visualization,is-a,field
data-visualization,is-used-in-field,data-science
data-visualization,is-used-in-field,scientific
data-visualization,provides-functionality,visualization
database,provides-functionality,data-management
database,works-with,dbms
deep-learning,is-a,field
deep-learning,is-subset-of,machine-learning
deep-learning,is-subset-of,neural-network
deep-learning,is-used-in-field,ai
deep-learning,is-used-in-field,bioinformatics
deep-learning,is-used-in-field,image-processing
deep-learning,is-used-in-field,scientific
deep-learning,works-with,python
demoscene,is-a,community
demoscene,is-used-in-field,art
deno,has-license,mit-license
deno,is-a,runtime-environment
deno,is-used-in-field,software-development
deno,provides-functionality,package-manager
deno,works-with,javascript
deno,works-with,linux
deno,works-with,rust
deno,works-with,typescript
deno,works-with,v8
dependency-management,is-a,tool
dependency-management,is-used-in-field,software-development
dependency-management,provides-functionality,management
dependency-management,provides-functionality,package-manager
deployer,has-property,cli
deployer,is-a,tool
deployer,is-based-on,php
deployer,works-with,laravel
deployer,works-with,symfony
deployer,works-with,zend
deployment,is-a,process
deployment,is-used-in-field,software-development-process
discord,has-property,free
discord,is-a,application
discord,is-used-in-field,chat
discord,is-used-in-field,telecommunication
discord,provides-functionality,communication
discord,provides-functionality,game
discord,provides-functionality,streaming
discord,provides-functionality,video-calls
discord,works-with,javascript
discord-js,is-a,library
discord-js,works-with,discord
discord-js,works-with,nodejs
django,is-a,framework
django,is-used-in-field,web-development
django,provides-functionality,backend
django,works-with,python
dle,is-a,cms
dle,is-used-in-field,web-development
docker,is-a,platform
docker,is-used-in-field,software-development
docker,provided-by,dotcloud
docker,provides-functionality,container
docker,provides-functionality,virtualization
docker,works-with,shell
docker,works-with,ubuntu
docker,works-with,windows
documentation,is-used-in-field,education
dotcloud,is-a,company
dotnet,has-license,mixed-license
dotnet,is-a,framework
dotnet,is-focused-on,memory-management
dotnet,is-focused-on,portability
dotnet,is-used-in-field,desktop
dotnet,is-used-in-field,mobile
dotnet,is-used-in-field,software-development
dotnet,provided-by,microsoft
dotnet,works-with,csharp
dotnet,works-with,windows
duckduckgo,is-a,search-engine
duckduckgo,is-focused-on,privacy
duckduckgo,is-used-in-field,web
duckduckgo,provides-functionality,search
ecmascript,is-a,organization
ecmascript,is-focused-on,standard
effector,is-a,state-manager
effector,is-used-in-field,mobile
effector,is-used-in-field,web-development
effector,provides-functionality,user-experience
effector,provides-functionality,user-interface
effector,works-with,javascript
ejs,is-a,language
ejs,is-focused-on,template
ejs,works-with,javascript
elasticsearch,is-a,search-engine
elasticsearch,is-used-in-field,web
elasticsearch,provides-functionality,search
elasticsearch,works-with,lucene
electron,has-property,open-source
electron,is-a,framework
electron,is-used-in-field,desktop
electron,provided-by,github
electron,provides-functionality,backend
electron,provides-functionality,frontend
electron,works-with,cpp
electron,works-with,css
electron,works-with,html
electron,works-with,javascript
electron,works-with,linux
eleventy,is-a,framework
eleventy,is-used-in-field,web-development
eleventy,provides-functionality,site-generation
eleventy,provides-product,static-website
eleventy,works-with,javascript
elite-dangerous,has-property,multiplayer
elite-dangerous,has-property,simulation
elite-dangerous,is-a,game
elixir,is-a,programming-language
elm,is-a,programming-language
emacs,has-property,foss
emacs,has-property,gui
emacs,is-a,text-editor
emacs,is-focused-on,customizability
emacs,is-used-in-field,scientific
emacs,is-used-in-field,software-development
emacs,provides-functionality,self-documenting
emacs,provides-functionality,user-interface
emacs,works-with,lisp
ember,is-a,framework
ember,is-used-in-field,desktop
ember,is-used-in-field,mobile
ember,is-used-in-field,web-development
ember,provides-functionality,frontend
ember,provides-functionality,microservice
ember,works-with,javascript
emoji,is-a,graphics
emoji,is-used-in-field,emotion-analysis
emoji,is-used-in-field,messaging
emoji,is-used-in-field,mobile
emoji,is-used-in-field,nlp
emoji,is-used-in-field,sentiment-analysis
emoji,is-used-in-field,social-media
emoji,is-used-in-field,social-network
emulator,has-property,cross-platform
emulator,is-used-in-field,embedded-systems
emulator,provides-functionality,emulation
emulator,provides-functionality,simulation
end-to-end-encryption,is-focused-on,privacy
end-to-end-encryption,is-used-in-field,communication
end-to-end-encryption,provides-functionality,security
ens,is-a,service
ens,is-used-in-field,blockchain
ens,works-with,ethereum
epics,is-a,tool
epics,is-used-in-field,scientific
epics,provides-functionality,control
epics,provides-functionality,distribution
epitech,is-a,organization
epitech,is-used-in-field,education
erlang,is-a,programming-language
es6,is-a,programming-language
eslint,is-a,linter
eslint,is-a,tool
eslint,is-used-in-field,development
eslint,is-used-in-field,software-development
eslint,provides-functionality,testing
eslint,works-with,javascript
esolang,is-a,programming-language
ethereum,has-property,decentralization
ethereum,has-property,open-source
ethereum,is-a,platform
ethereum,is-used-in-field,blockchain
ethereum,is-used-in-field,digital-currency
ethereum,provides-functionality,smart-contract
express,has-license,mit-license
express,is-a,framework
express,is-used-in-field,backend
express,is-used-in-field,mobile
express,is-used-in-field,web-development
express,provides-functionality,backend
express,works-with,javascript
express,works-with,nodejs
f-droid,has-property,open-source
f-droid,is-a,catalogue
f-droid,is-a,software-repository
f-droid,is-used-in-field,mobile
f-droid,provides-functionality,android
f-droid,works-with,java
f-droid,works-with,python
faas,is-a,as-a-service
faas,is-used-in-field,cloud-computing
fable,is-a,transpiler
fable,works-with,fsharp
fable,works-with,javascript
fabricmc,is-a,tool
fabricmc,is-used-in-field,game-development
fabricmc,provides-functionality,entertainment
fabricmc,works-with,minecraft
fancyzones,is-subset-of,powertoys
fantasy-console,is-a,game-engine
fantasy-console,is-used-in-field,game-development
fantasy-console,provides-functionality,simulation
fantasy-console,provides-functionality,virtualization
fastify,is-a,framework
fastify,is-used-in-field,web-development
fastify,provides-functionality,backend
fastify,works-with,javascript
fastify,works-with,nodejs
feathers,is-a,framework
feathers,provides-functionality,real-time
feathers,provides-functionality,rest
feathers,works-with,javascript
feathers,works-with,typescript
felgo,has-property,cross-platform
felgo,is-a,sdk
felgo,is-based-on,qt
felgo,is-focused-on,flexibility
felgo,provides-functionality,native
felgo,works-with,android
felgo,works-with,desktop
felgo,works-with,ios
felgo,works-with,web
figma,is-a,tool
figma,is-used-in-field,software-development-process
figma,provides-functionality,collaboration
figma,provides-functionality,user-experience
figma,provides-functionality,user-interface
finite-element-method,is-a,method
finite-element-method,is-used-in-field,scientific
firebase,is-a,platform
firebase,is-a,platform
firebase,is-used-in-field,mobile
firebase,is-used-in-field,mobile
firebase,is-used-in-field,web-development
firebase,is-used-in-field,web-development
firebase,provided-by,google
firebase,provides-functionality,frontend
firebase,provides-functionality,frontend
firebase,provides-functionality,software-development
firebase,provides-functionality,software-development
firefox,is-a,application
firefox,is-a,browser
firefox,is-used-in-field,web
firefox,works-with,linux
firefox,works-with,macos
firefox,works-with,windows
firefox-extension,is-a,webextension
firefox-extension,is-used-in-field,firefox
firefox-extension,works-with,browser
firefox-extension,works-with,css
firefox-extension,works-with,html
firefox-extension,works-with,javascript
first,is-a,organization
first,is-used-in-field,competition
first-robotics-competition,is-a,competition
first-tech-challenge,is-a,competition
fish,has-property,open-source
fish,is-a,cli
fish,is-a,shell
fish,works-with,linux
fish,works-with,macos
flask,is-a,framework
flask,is-used-in-field,web-development
flask,provides-functionality,backend
flask,works-with,python
flight,has-property,extensible
flight,has-property,fast
flight,has-property,simple
flight,is-a,framework
flight,provides-functionality,rest
flight,works-with,php
flutter,has-license,bsd-license
flutter,is-a,sdk
flutter,is-used-in-field,mobile
flutter,is-used-in-field,web-development
flutter,provided-by,google
flutter,provides-functionality,user-experience
flutter,provides-functionality,user-interface
flutter,works-with,android
flutter,works-with,cpp
flutter,works-with,ios
font,provides-functionality,editing
font,provides-functionality,styling
fortran,is-a,programming-language
foss,is-subset-of,open-source
framework,has-property,standard
framework,is-used-in-field,software-development
framework,overlaps-with,design-pattern
framework,provides-functionality,development
freeswitch,has-license,mozilla-public-license
freeswitch,has-property,cross-platform
freeswitch,has-property,foss
freeswitch,has-property,real-time
freeswitch,is-a,platform
freeswitch,is-based-on,c
freeswitch,is-used-in-field,contact-center
freeswitch,is-used-in-field,telecommunication
freeswitch,provides-functionality,communication
freeswitch,provides-functionality,encryption
freeswitch,works-with,udp
frontend,is-used-in-field,web-development
frontend,provides-functionality,user-experience
frontend,provides-functionality,user-interface
frontend,provides-functionality,visualization
frontend,works-with,css
frontend,works-with,html
frontend,works-with,javascript
fsharp,is-a,programming-language
game-engine,is-a,framework
game-engine,is-used-in-field,game-development
game-engine,provides-functionality,game-development
game-jam,is-a,hackathon
game-jam,is-used-in-field,game-development
game-off,is-a,event
game-off,is-a,game-jam
game-off,is-used-in-field,game-development
game-off,provided-by,github
game-off,provides-functionality,game-development
gamemaker,has-license,proprietary-license
gamemaker,has-property,cross-platform
gamemaker,has-property,multi-language
gamemaker,is-a,game-engine
gamemaker,is-used-in-field,game-development
gamemaker,is-used-in-field,graphics
gamemaker,provided-by,yoyo-games
gamemaker,provides-functionality,2d
gamemaker,provides-functionality,android
gamemaker,provides-functionality,html
gamemaker,provides-functionality,ios
gamemaker,provides-functionality,linux
gamemaker,provides-functionality,macos
gamemaker,provides-functionality,playstation
gamemaker,provides-functionality,windows
gamemaker,provides-functionality,xbox
gamemaker,works-with,cpp
garrysmod,has-property,cross-platform
garrysmod,is-a,application
garrysmod,is-a,game
garrysmod,is-used-in-field,entertainment
garrysmod,works-with,lua
gatsby,has-property,open-source
gatsby,is-a,framework
gatsby,is-based-on,react
gatsby,is-focused-on,speed
gatsby,is-used-in-field,frontend
gatsby,is-used-in-field,mobile
gatsby,is-used-in-field,web-development
gatsby,provides-functionality,site-generation
gatsby,provides-functionality,website
gatsby,works-with,cms
gatsby,works-with,javascript
generative-adversarial-network,is-a,framework
generative-adversarial-network,is-used-in-field,ai
generative-adversarial-network,is-used-in-field,game
generative-adversarial-network,is-used-in-field,machine-learning
generative-adversarial-network,is-used-in-field,scientific
generative-adversarial-network,works-with,neural-network
getting-things-done,is-a,method
getting-things-done,provides-functionality,management
ghidra,is-a,framework
ghidra,provides-functionality,reverse-engineering
gin,is-a,framework
gin,is-based-on,http
gin,is-focused-on,performance
gin,is-focused-on,speed
gin,is-used-in-field,web-development
gin,provides-functionality,backend
gin,works-with,go
git,is-a,vcs
git,is-used-in-field,software-development-process
git,provides-functionality,management
git,provides-functionality,tracking
git,works-with,source-code
github,is-a,company
github,is-a,platform
github,is-a,software-repository
github,is-a,vcs
github,is-used-in-field,software-development-process
github,works-with,git
github-api,has-property,free
github-api,is-a,api
github-api,is-used-in-field,software-development-process
github-api,works-with,github
github-api,works-with,graphql
github-api,works-with,rest
gitpod,is-a,platform
gitpod,works-with,container
global-game-jam,is-a,event
global-game-jam,is-a,game-jam
global-game-jam,is-used-in-field,game-development
gnu-agpl-license,is-a,gpl
gnu-agpl-license,is-a,license
gnu-gpl-license,is-a,gpl
gnu-gpl-license,is-a,license
gnu-lgpl-license,is-a,gpl
gnu-lgpl-license,is-a,license
go,is-a,programming-language
godot,has-property,cross-platform
godot,is-a,game-engine
godot,is-used-in-field,game-development
godot,provides-functionality,2d
godot,provides-functionality,3d
godot,provides-functionality,android
godot,provides-functionality,html
godot,provides-functionality,ios
godot,provides-functionality,linux
godot,provides-functionality,macos
godot,provides-functionality,windows
godot,works-with,cpp
golem,has-property,open-source
golem,is-a,platform
golem,provides-product,cloud-computing
google,is-a,company
google,is-a,organization
google,provides-product,firebase
google,provides-product,flutter
google-cloud,is-a,platform
google-cloud,is-used-in-field,cloud-computing
gpl,is-a,license
gradescope,has-property,free
gradescope,is-a,online-judge
gradescope,is-a,tool
gradescope,is-a,website
gradescope,is-used-in-field,education
gradescope,provides-functionality,education
gradescope,provides-functionality,grading
gradle,has-property,cross-platform
gradle,has-property,multi-language
gradle,is-a,tool
gradle,is-used-in-field,software-development-process
gradle,provides-functionality,automation
grafana,has-property,open-source
grafana,is-a,platform
grafana,provides-functionality,data-visualization
grafana,works-with,graphite
grafana,works-with,mysql
grafana,works-with,prometheus
graphql,has-property,open-source
graphql,is-a,query-language
graphql,is-used-in-field,database
graphql,is-used-in-field,web-development
graphql,provided-by,facebook
graphql,works-with,database
graphql,works-with,javascript
groovy,is-a,programming-language
grpc,has-property,high-performance
grpc,has-property,open-source
grpc,is-a,framework
grpc,works-with,rpc
gui,is-a,user-interface
gui,provides-functionality,graphics
guildwars2,has-property,multiplayer
guildwars2,is-a,application
guildwars2,is-a,game
guildwars2,is-used-in-field,entertainment
guildwars2,provides-functionality,entertainment
gulp,is-a,tool
gulp,is-used-in-field,frontend
gulp,is-used-in-field,web-development
gulp,provides-functionality,automation
gulp,works-with,javascript
hackathon,is-a,event
hacktoberfest,is-a,event
haskell,is-a,programming-language
haxe,is-a,programming-language
help-desk,is-used-in-field,support
heroku,is-a,platform
heroku,provides-functionality,cloud-computing
heroku,provides-functionality,paas
hms,is-a,service
hms,is-a,tool
hms,is-used-in-field,mobile
hms,works-with,cloud-computing
hms,works-with,iap
hms,works-with,machine-learning
hms,works-with,pushkit
home-assistant,has-property,on-premise
home-assistant,is-a,tool
home-assistant,is-used-in-field,iot
home-assistant,is-used-in-field,smart-home
home-assistant,provides-functionality,automation
home-assistant,provides-functionality,control
home-assistant,provides-functionality,monitoring
home-assistant,provides-functionality,privacy
home-assistant,provides-functionality,smart-home
home-assistant,provides-functionality,user-interface
home-assistant,works-with,android
home-assistant,works-with,cloud-computing
home-assistant,works-with,ios
home-assistant,works-with,python
home-assistant,works-with,raspberry-pi
homebrew,is-a,package-manager
homebrew,works-with,macos
homebridge,has-property,open-source
homebridge,is-a,server
homebridge,is-used-in-field,iot
homebridge,provides-functionality,control
homebridge,works-with,siri
html,is-a,markup-language
html,is-used-in-field,web-development
html,maintained-by,w3c
html,provides-functionality,frontend
html,works-with,css
html,works-with,javascript
http,is-a,protocol
http,is-used-in-field,telecommunication
http,is-used-in-field,web
http,provides-functionality,communication
icon-font,is-a,graphics
icon-font,is-subset-of,font
icon-font,is-subset-of,icons
